subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf005,GSR_PDA,tr,HRF,FC1,0.0004417330228639,1.214944015485081
dmnelf005,GSR_PDA,tr,TA,Pz,0.3066278850983416,0.9063929779413328
dmnelf005,VIS,tr,EFP,Fp2,0.0827776649345308,1.0650240792077754
dmnelf005,VIS,tr,HRF,F8,0.105665121348524,1.0468839448682945
dmnelf005,VIS,tr,TA,Pz,-0.0306247068261478,1.0501062270912231
dmnelf005,DMN,hz4,EFP,Fz,0.1025450914983125,1.225380460243258
dmnelf005,DMN,hz4,HRF,Fz,0.1127879813303188,1.0123805800697792
dmnelf005,DMN,hz4,TA,POz,0.0926086668290789,0.9928053777422344
dmnelf005,CEN,hz4,EFP,Fz,0.3762775133918766,0.9184065173742232
dmnelf005,CEN,hz4,HRF,Oz,-0.0474984281202691,1.08002959760637
dmnelf005,CEN,hz4,TA,P3,0.0641128990447647,0.9995058077288608
dmnelf005,PDA,hz4,EFP,P4,0.2921655158243939,1.000990277388142
